iccs,leg_stat,sex,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
ICCS03011,PER_PRSC,T,P_HTHAB,NO	5.19 	4.99 	4.82 	4.91 	5.27 	5.05 	4.86 	5.00 	5.04 	4.67 
ICCS03011,PER_PRSC,T,P_HTHAB,PL	1.89 	1.23 	: 	: 	1.78 	: 	2.35 	: 	: 	: 
ICCS03011,PER_PRSC,T,P_HTHAB,PT	1.51 	1.45 	1.39 	1.19 	1.18 	1.28 	1.21 	1.06 	1.06 	1.34 
ICCS03011,PER_PRSC,T,P_HTHAB,RO	3.68 	: 	4.08 	3.26 	2.33 	2.19 	2.27 	2.36 	2.64 	2.58 
ICCS03011,PER_PRSC,T,P_HTHAB,RS	2.77 	2.84 	2.66 	3.13 	3.08 	2.18 	2.25 	2.23 	2.60 	1.97 
ICCS03011,PER_PRSC,T,P_HTHAB,SE	4.90 	4.86 	5.08 	5.16 	5.12 	5.37 	5.58 	6.36 	6.31 	6.20 
ICCS03011,PER_PRSC,T,P_HTHAB,SI	: 	1.16 	0.92 	0.97 	0.92 	1.31 	1.22 	1.32 	1.53 	1.39 
ICCS03011,PER_PRSC,T,P_HTHAB,SK	1.09 	1.29 	1.49 	1.40 	1.50 	1.89 	2.28 	2.32 	: 	: 
ICCS03011,PER_PRSC,T,P_HTHAB,TR	: 	37.63 	38.30 	41.02 	45.15 	57.21 	53.07 	52.08 	44.46 	: 
ICCS03011,PER_PRSC,T,P_HTHAB,UKC-L	: 	14.12 	14.94 	13.66 	13.12 	5.01 	5.23 	5.54 	5.08 	4.39 
ICCS03011,PER_PRSC,T,P_HTHAB,UKM	5.30 	6.09 	3.58 	4.59 	3.74 	2.13 	1.40 	1.11 	1.84 	1.66 
ICCS03011,PER_PRSC,T,P_HTHAB,UKN	: 	1.94 	1.84 	3.37 	3.45 	4.67 	4.09 	4.61 	: 	: 
ICCS03011,PER_PRSC,T,P_HTHAB,XK	: 	: 	: 	: 	: 	: 	2.95 	: 	: 	: 
ICCS03011,PER_SUSP,F,NR,AL	0 	1 	0 	0 	0 	0 	0 	0 	1 	10 
ICCS03011,PER_SUSP,F,NR,AT	: 	15 	26 	24 	21 	30 	15 	37 	7 	6 
ICCS03011,PER_SUSP,F,NR,BE	: 	: 	18 	22 	27 	33 	15 	29 	32 	29 
ICCS03011,PER_SUSP,F,NR,BG	0 	1 	1 	1 	0 	4 	0 	2 	0 	1 
ICCS03011,PER_SUSP,F,NR,CH	2 	: 	1 	1 	2 	0 	1 	1 	2 	: 
ICCS03011,PER_SUSP,F,NR,CZ	7 	3 	2 	2 	2 	5 	1 	2 	1 	0 
ICCS03011,PER_SUSP,F,NR,DE	83 	83 	73 	76 	74 	75 	66 	74 	65 	54 
ICCS03011,PER_SUSP,F,NR,DK	5 	6 	8 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,F,NR,EL	2 	3 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,F,NR,ES	14 	5 	13 	10 	25 	13 	10 	18 	24 	: 
ICCS03011,PER_SUSP,F,NR,FI	8 	7 	3 	4 	4 	19 	3 	2 	3 	8 
ICCS03011,PER_SUSP,F,NR,FR	144 	162 	143 	159 	165 	128 	120 	111 	125 	114 
ICCS03011,PER_SUSP,F,NR,HR	1 	4 	2 	0 	0 	0 	1 	5 	1 	1 
ICCS03011,PER_SUSP,F,NR,HU	13 	11 	7 	3 	2 	1 	3 	10 	0 	2 
ICCS03011,PER_SUSP,F,NR,IS	2 	1 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,F,NR,LI	: 	0 	0 	0 	0 	0 	0 	0 	0 	: 
ICCS03011,PER_SUSP,F,NR,LT	0 	2 	0 	0 	0 	2 	3 	1 	2 	: 
ICCS03011,PER_SUSP,F,NR,LU	2 	4 	4 	3 	: 	: 	2 	5 	2 	: 
ICCS03011,PER_SUSP,F,NR,LV	1 	5 	0 	1 	0 	3 	1 	2 	2 	: 
ICCS03011,PER_SUSP,F,NR,ME	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
ICCS03011,PER_SUSP,F,NR,MK	: 	: 	: 	1 	: 	1 	: 	: 	: 	: 
ICCS03011,PER_SUSP,F,NR,NL	10 	8 	11 	9 	9 	25 	10 	15 	25 	25 
ICCS03011,PER_SUSP,F,NR,NO	14 	10 	8 	8 	7 	8 	3 	6 	2 	9 
ICCS03011,PER_SUSP,F,NR,PL	2 	1 	0 	1 	0 	13 	13 	11 	15 	: 
ICCS03011,PER_SUSP,F,NR,PT	3 	2 	7 	3 	9 	3 	7 	5 	5 	7 
ICCS03011,PER_SUSP,F,NR,RS	0 	1 	0 	1 	0 	0 	0 	0 	3 	: 
ICCS03011,PER_SUSP,F,NR,SE	47 	38 	39 	35 	45 	40 	38 	26 	33 	27 
ICCS03011,PER_SUSP,F,NR,SI	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 
ICCS03011,PER_SUSP,F,NR,SK	1 	0 	0 	0 	0 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,F,NR,XK	1 	0 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,F,P_HTHAB,AL	0.00 	0.07 	0.00 	0.00 	: 	: 	0.00 	: 	0.06 	0.63 
ICCS03011,PER_SUSP,F,P_HTHAB,AT	: 	0.34 	0.59 	0.55 	0.49 	0.70 	0.35 	0.86 	0.16 	0.14 
ICCS03011,PER_SUSP,F,P_HTHAB,BE	: 	: 	0.32 	0.39 	0.48 	0.58 	0.27 	0.52 	0.58 	0.53 
ICCS03011,PER_SUSP,F,P_HTHAB,BG	0.00 	0.03 	0.03 	0.03 	0.00 	0.11 	0.00 	0.05 	0.00 	0.03 
ICCS03011,PER_SUSP,F,P_HTHAB,CH	0.05 	: 	0.02 	0.02 	0.05 	0.00 	0.03 	0.03 	0.05 	: 
ICCS03011,PER_SUSP,F,P_HTHAB,CZ	0.13 	0.06 	0.04 	0.04 	0.04 	0.09 	0.02 	0.04 	0.02 	0.00 
ICCS03011,PER_SUSP,F,P_HTHAB,DE	0.20 	0.20 	0.18 	0.18 	0.18 	0.18 	0.16 	0.18 	0.16 	0.13 
ICCS03011,PER_SUSP,F,P_HTHAB,DK	0.17 	0.21 	0.28 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,F,P_HTHAB,EL	0.04 	0.05 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,F,P_HTHAB,ES	0.06 	0.02 	0.06 	0.04 	0.11 	0.05 	0.04 	0.08 	0.10 	: 
ICCS03011,PER_SUSP,F,P_HTHAB,FI	0.29 	0.25 	0.11 	0.14 	0.14 	0.69 	0.11 	0.07 	0.11 	0.30 
ICCS03011,PER_SUSP,F,P_HTHAB,FR	0.42 	0.47 	0.42 	0.47 	0.49 	0.38 	0.36 	0.33 	0.38 	0.35 
ICCS03011,PER_SUSP,F,P_HTHAB,HR	0.05 	0.18 	0.09 	0.00 	0.00 	0.00 	0.05 	0.22 	0.04 	0.04 
ICCS03011,PER_SUSP,F,P_HTHAB,HU	0.25 	0.21 	0.14 	0.06 	0.04 	0.02 	0.06 	0.19 	0.00 	0.04 
ICCS03011,PER_SUSP,F,P_HTHAB,IS	1.20 	0.61 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,F,P_HTHAB,LI	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 
ICCS03011,PER_SUSP,F,P_HTHAB,LT	0.00 	0.13 	0.00 	0.00 	0.00 	0.12 	0.18 	0.06 	0.12 	: 
ICCS03011,PER_SUSP,F,P_HTHAB,LU	0.68 	1.39 	1.42 	1.09 	: 	: 	0.78 	1.98 	0.80 	: 
ICCS03011,PER_SUSP,F,P_HTHAB,LV	0.09 	0.47 	0.00 	0.09 	0.00 	0.27 	0.09 	0.17 	0.17 	: 
ICCS03011,PER_SUSP,F,P_HTHAB,ME	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
ICCS03011,PER_SUSP,F,P_HTHAB,MK	: 	: 	: 	0.10 	: 	0.10 	: 	: 	: 	: 
ICCS03011,PER_SUSP,F,P_HTHAB,NL	0.12 	0.09 	0.13 	0.11 	0.11 	0.30 	0.12 	0.18 	0.30 	0.30 
ICCS03011,PER_SUSP,F,P_HTHAB,NO	0.54 	0.39 	0.31 	0.31 	0.28 	0.16 	0.06 	0.12 	0.04 	0.19 
ICCS03011,PER_SUSP,F,P_HTHAB,PL	0.01 	0.01 	0.00 	0.01 	0.00 	0.07 	0.07 	0.06 	0.08 	: 
ICCS03011,PER_SUSP,F,P_HTHAB,PT	0.06 	0.04 	0.13 	0.05 	0.16 	0.05 	0.13 	0.09 	0.09 	0.13 
ICCS03011,PER_SUSP,F,P_HTHAB,RS	0.00 	0.03 	0.00 	0.03 	0.00 	0.00 	0.00 	0.00 	0.08 	: 
ICCS03011,PER_SUSP,F,P_HTHAB,SE	0.94 	0.77 	0.80 	0.72 	0.94 	0.42 	0.40 	0.28 	0.35 	0.29 
ICCS03011,PER_SUSP,F,P_HTHAB,SI	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.10 	0.00 	0.00 	0.00 
ICCS03011,PER_SUSP,F,P_HTHAB,SK	0.04 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,F,P_HTHAB,XK	: 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,M,NR,AL	41 	46 	61 	44 	41 	25 	24 	51 	96 	72 
ICCS03011,PER_SUSP,M,NR,AT	: 	1125 	1003 	1084 	1098 	1088 	1084 	1048 	647 	588 
ICCS03011,PER_SUSP,M,NR,BA	: 	9 	11 	10 	19 	15 	11 	31 	: 	: 
ICCS03011,PER_SUSP,M,NR,BE	: 	: 	821 	941 	1043 	1234 	1280 	1283 	1326 	1306 
ICCS03011,PER_SUSP,M,NR,BG	58 	77 	52 	100 	91 	108 	94 	140 	180 	227 
ICCS03011,PER_SUSP,M,NR,CH	516 	: 	420 	462 	435 	461 	453 	453 	466 	: 
ICCS03011,PER_SUSP,M,NR,CZ	439 	460 	385 	388 	364 	399 	404 	375 	314 	345 
ICCS03011,PER_SUSP,M,NR,DE	6896 	6393 	5823 	6086 	6203 	6701 	6418 	6601 	6208 	6310 
ICCS03011,PER_SUSP,M,NR,DK	411 	345 	258 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,M,NR,EL	244 	232 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,M,NR,ES	1045 	688 	876 	937 	836 	853 	1048 	1219 	1358 	: 
ICCS03011,PER_SUSP,M,NR,FI	930 	819 	808 	713 	796 	752 	641 	572 	509 	633 
ICCS03011,PER_SUSP,M,NR,FR	10478 	9558 	8610 	8134 	7620 	7319 	7149 	6717 	6792 	6819 
ICCS03011,PER_SUSP,M,NR,HR	136 	137 	136 	174 	174 	103 	98 	116 	98 	145 
ICCS03011,PER_SUSP,M,NR,HU	338 	393 	361 	255 	249 	250 	262 	293 	234 	282 
ICCS03011,PER_SUSP,M,NR,IS	141 	133 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,M,NR,LI	: 	2 	1 	4 	2 	5 	2 	0 	0 	: 
ICCS03011,PER_SUSP,M,NR,LT	103 	81 	90 	108 	88 	108 	167 	151 	148 	106 
ICCS03011,PER_SUSP,M,NR,LU	89 	83 	54 	48 	: 	: 	58 	53 	47 	: 
ICCS03011,PER_SUSP,M,NR,LV	149 	116 	78 	96 	86 	46 	35 	198 	99 	: 
ICCS03011,PER_SUSP,M,NR,ME	8 	2 	5 	4 	3 	3 	3 	11 	8 	19 
ICCS03011,PER_SUSP,M,NR,MK	: 	: 	: 	47 	36 	35 	39 	31 	40 	49 
ICCS03011,PER_SUSP,M,NR,NL	512 	560 	605 	636 	695 	775 	910 	1000 	1225 	1300 
ICCS03011,PER_SUSP,M,NR,NO	509 	432 	388 	394 	403 	384 	352 	403 	375 	363 
ICCS03011,PER_SUSP,M,NR,PL	397 	369 	343 	419 	402 	842 	880 	830 	935 	: 
ICCS03011,PER_SUSP,M,NR,PT	154 	145 	142 	144 	159 	147 	140 	194 	244 	245 
ICCS03011,PER_SUSP,M,NR,RS	68 	52 	62 	59 	89 	91 	83 	84 	120 	126 
ICCS03011,PER_SUSP,M,NR,SE	3143 	2752 	2803 	2773 	2625 	2725 	2730 	2858 	2599 	2257 
ICCS03011,PER_SUSP,M,NR,SI	41 	29 	39 	41 	38 	46 	38 	47 	68 	42 
ICCS03011,PER_SUSP,M,NR,SK	55 	50 	53 	63 	46 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,M,NR,XK	29 	26 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,M,P_HTHAB,AL	2.82 	3.15 	4.17 	3.01 	: 	: 	1.69 	: 	6.06 	4.53 
ICCS03011,PER_SUSP,M,P_HTHAB,AT	: 	26.38 	23.91 	26.09 	26.63 	26.55 	26.58 	25.77 	15.95 	14.55 
ICCS03011,PER_SUSP,M,P_HTHAB,BA	: 	: 	: 	: 	: 	0.80 	0.59 	1.65 	: 	: 
ICCS03011,PER_SUSP,M,P_HTHAB,BE	: 	: 	14.86 	17.13 	19.01 	22.63 	23.70 	24.15 	25.17 	25.00 
ICCS03011,PER_SUSP,M,P_HTHAB,BG	1.68 	2.21 	1.48 	2.84 	2.57 	3.03 	2.62 	3.87 	4.95 	6.20 
ICCS03011,PER_SUSP,M,P_HTHAB,CH	12.36 	: 	10.31 	11.49 	10.96 	11.75 	11.68 	11.83 	12.31 	: 
ICCS03011,PER_SUSP,M,P_HTHAB,CZ	8.44 	8.87 	7.44 	7.52 	7.05 	7.74 	7.85 	7.30 	6.14 	6.81 
ICCS03011,PER_SUSP,M,P_HTHAB,DE	16.94 	15.78 	14.62 	15.39 	15.75 	17.08 	16.40 	16.46 	15.45 	15.67 
ICCS03011,PER_SUSP,M,P_HTHAB,DK	14.37 	12.16 	9.18 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,M,P_HTHAB,EL	4.67 	4.44 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,M,P_HTHAB,ES	4.58 	3.02 	3.84 	4.10 	3.63 	3.69 	4.55 	5.30 	5.94 	: 
ICCS03011,PER_SUSP,M,P_HTHAB,FI	34.29 	30.32 	30.02 	26.60 	29.85 	28.35 	24.29 	21.79 	19.49 	24.38 
ICCS03011,PER_SUSP,M,P_HTHAB,FR	32.42 	29.64 	26.74 	25.47 	23.98 	23.16 	22.72 	21.46 	21.81 	22.01 
ICCS03011,PER_SUSP,M,P_HTHAB,HR	6.78 	6.77 	6.67 	8.49 	8.46 	4.99 	4.74 	5.59 	4.72 	6.98 
ICCS03011,PER_SUSP,M,P_HTHAB,HU	7.23 	8.38 	7.69 	5.42 	5.28 	5.29 	5.52 	6.16 	4.91 	5.91 
ICCS03011,PER_SUSP,M,P_HTHAB,IS	82.44 	79.51 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,M,P_HTHAB,LI	: 	10.72 	5.39 	21.74 	10.96 	27.71 	11.18 	0.00 	0.00 	: 
ICCS03011,PER_SUSP,M,P_HTHAB,LT	7.85 	6.09 	6.69 	7.96 	6.43 	7.81 	11.87 	10.41 	10.05 	7.13 
ICCS03011,PER_SUSP,M,P_HTHAB,LU	30.00 	28.70 	19.15 	17.45 	: 	: 	22.78 	21.25 	19.20 	: 
ICCS03011,PER_SUSP,M,P_HTHAB,LV	16.64 	12.83 	8.56 	10.47 	9.28 	4.92 	3.69 	20.39 	9.97 	: 
ICCS03011,PER_SUSP,M,P_HTHAB,ME	2.60 	0.65 	1.63 	1.30 	0.98 	0.98 	0.98 	3.60 	2.63 	6.27 
ICCS03011,PER_SUSP,M,P_HTHAB,MK	: 	: 	: 	4.54 	3.48 	3.39 	3.78 	3.01 	3.90 	4.78 
ICCS03011,PER_SUSP,M,P_HTHAB,NL	6.04 	6.65 	7.23 	7.63 	8.37 	9.36 	11.04 	12.19 	15.02 	16.03 
ICCS03011,PER_SUSP,M,P_HTHAB,NO	19.21 	16.47 	14.93 	15.35 	15.89 	7.70 	7.15 	8.30 	7.81 	7.66 
ICCS03011,PER_SUSP,M,P_HTHAB,PL	2.16 	2.01 	1.86 	2.28 	2.18 	4.57 	4.77 	4.51 	5.08 	: 
ICCS03011,PER_SUSP,M,P_HTHAB,PT	3.15 	2.96 	2.88 	2.90 	3.18 	2.92 	2.77 	3.83 	4.82 	4.83 
ICCS03011,PER_SUSP,M,P_HTHAB,RS	1.98 	1.51 	1.79 	1.70 	2.55 	2.59 	2.35 	2.36 	3.36 	3.52 
ICCS03011,PER_SUSP,M,P_HTHAB,SE	62.69 	55.81 	57.53 	57.60 	55.08 	28.74 	28.99 	30.60 	28.08 	24.58 
ICCS03011,PER_SUSP,M,P_HTHAB,SI	4.00 	2.83 	3.82 	4.02 	3.73 	4.52 	3.75 	4.63 	6.77 	4.26 
ICCS03011,PER_SUSP,M,P_HTHAB,SK	2.07 	1.89 	2.01 	2.39 	1.75 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,M,P_HTHAB,XK	: 	2.94 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,T,NR,AL	41 	47 	61 	44 	41 	25 	24 	51 	97 	82 
ICCS03011,PER_SUSP,T,NR,AT	: 	1140 	1029 	1108 	1119 	1118 	1099 	1085 	654 	594 
ICCS03011,PER_SUSP,T,NR,BA	25 	26 	41 	34 	41 	38 	36 	44 	: 	18 
ICCS03011,PER_SUSP,T,NR,BE	: 	: 	917 	1082 	1217 	1380 	1417 	1435 	1463 	1447 
ICCS03011,PER_SUSP,T,NR,BG	58 	78 	53 	101 	91 	112 	94 	142 	180 	228 
ICCS03011,PER_SUSP,T,NR,CH	518 	: 	421 	463 	437 	461 	454 	454 	468 	429 
ICCS03011,PER_SUSP,T,NR,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	42 
ICCS03011,PER_SUSP,T,NR,CZ	446 	463 	387 	390 	366 	404 	405 	377 	315 	345 
ICCS03011,PER_SUSP,T,NR,DE	6979 	6476 	5896 	6162 	6277 	6776 	6484 	6675 	6273 	6364 
ICCS03011,PER_SUSP,T,NR,DK	416 	351 	266 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,T,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	60 
ICCS03011,PER_SUSP,T,NR,EL	246 	235 	225 	273 	322 	341 	339 	430 	372 	348 
ICCS03011,PER_SUSP,T,NR,ES	1059 	693 	889 	947 	861 	866 	1058 	1237 	1382 	1043 
ICCS03011,PER_SUSP,T,NR,FI	938 	826 	811 	717 	800 	771 	644 	574 	512 	641 
ICCS03011,PER_SUSP,T,NR,FR	10622 	9720 	8753 	8293 	7785 	7447 	7269 	6828 	6917 	6933 
ICCS03011,PER_SUSP,T,NR,HR	137 	141 	138 	174 	174 	103 	99 	121 	99 	146 
ICCS03011,PER_SUSP,T,NR,HU	351 	404 	368 	258 	251 	251 	265 	303 	234 	284 
ICCS03011,PER_SUSP,T,NR,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	24 
ICCS03011,PER_SUSP,T,NR,IS	143 	134 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,T,NR,LI	: 	2 	1 	4 	2 	5 	2 	0 	0 	3 
ICCS03011,PER_SUSP,T,NR,LT	103 	83 	90 	108 	88 	110 	170 	152 	150 	106 
ICCS03011,PER_SUSP,T,NR,LU	91 	87 	58 	51 	: 	: 	60 	58 	49 	45 
ICCS03011,PER_SUSP,T,NR,LV	150 	121 	78 	97 	86 	49 	36 	200 	101 	219 
ICCS03011,PER_SUSP,T,NR,ME	8 	2 	5 	4 	3 	3 	3 	11 	8 	19 
ICCS03011,PER_SUSP,T,NR,MK	: 	: 	: 	48 	36 	36 	39 	31 	40 	49 
ICCS03011,PER_SUSP,T,NR,NL	526 	568 	617 	646 	705 	800 	925 	1015 	1285 	1360 
ICCS03011,PER_SUSP,T,NR,NO	523 	442 	396 	402 	410 	392 	355 	409 	377 	372 
ICCS03011,PER_SUSP,T,NR,PL	399 	370 	343 	420 	402 	855 	893 	841 	950 	1021 
ICCS03011,PER_SUSP,T,NR,PT	157 	147 	149 	147 	168 	150 	147 	199 	249 	252 
ICCS03011,PER_SUSP,T,NR,RO	1154 	751 	801 	778 	930 	862 	: 	: 	1004 	1027 
ICCS03011,PER_SUSP,T,NR,RS	68 	53 	62 	60 	89 	91 	83 	84 	123 	126 
ICCS03011,PER_SUSP,T,NR,SE	3198 	2800 	2842 	2808 	2675 	2774 	2773 	2897 	2637 	2296 
ICCS03011,PER_SUSP,T,NR,SI	41 	29 	39 	41 	38 	46 	39 	47 	68 	42 
ICCS03011,PER_SUSP,T,NR,SK	56 	50 	53 	63 	46 	51 	83 	86 	102 	94 
ICCS03011,PER_SUSP,T,NR,XK	30 	26 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,T,P_HTHAB,AL	1.43 	1.63 	2.11 	1.52 	: 	: 	0.85 	: 	3.05 	2.59 
ICCS03011,PER_SUSP,T,P_HTHAB,AT	: 	13.12 	12.00 	13.02 	13.24 	13.30 	13.12 	12.99 	7.85 	7.15 
ICCS03011,PER_SUSP,T,P_HTHAB,BA	: 	: 	: 	: 	: 	0.99 	0.94 	1.14 	: 	0.47 
ICCS03011,PER_SUSP,T,P_HTHAB,BE	: 	: 	8.16 	9.68 	10.90 	12.44 	12.88 	13.24 	13.61 	13.57 
ICCS03011,PER_SUSP,T,P_HTHAB,BG	0.82 	1.09 	0.74 	1.39 	1.25 	1.53 	1.28 	1.91 	2.41 	3.03 
ICCS03011,PER_SUSP,T,P_HTHAB,CH	6.15 	: 	5.11 	5.69 	5.44 	5.80 	5.77 	5.83 	6.08 	5.65 
ICCS03011,PER_SUSP,T,P_HTHAB,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.41 
ICCS03011,PER_SUSP,T,P_HTHAB,CZ	4.22 	4.39 	3.67 	3.71 	3.48 	3.85 	3.86 	3.60 	3.02 	3.34 
ICCS03011,PER_SUSP,T,P_HTHAB,DE	8.46 	7.88 	7.26 	7.63 	7.80 	8.44 	8.08 	8.16 	7.65 	7.74 
ICCS03011,PER_SUSP,T,P_HTHAB,DK	7.24 	6.15 	4.70 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,T,P_HTHAB,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.48 
ICCS03011,PER_SUSP,T,P_HTHAB,EL	2.28 	2.18 	2.07 	2.50 	2.93 	3.08 	3.05 	3.87 	3.35 	3.11 
ICCS03011,PER_SUSP,T,P_HTHAB,ES	2.28 	1.49 	1.91 	2.04 	1.84 	1.85 	2.27 	2.66 	2.99 	2.28 
ICCS03011,PER_SUSP,T,P_HTHAB,FI	17.04 	15.05 	14.82 	13.15 	14.74 	14.27 	11.98 	10.73 	9.61 	12.09 
ICCS03011,PER_SUSP,T,P_HTHAB,FR	15.90 	14.59 	13.16 	12.58 	11.87 	11.41 	11.19 	10.56 	10.75 	10.83 
ICCS03011,PER_SUSP,T,P_HTHAB,HR	3.30 	3.36 	3.27 	4.10 	4.08 	2.41 	2.31 	2.81 	2.30 	3.39 
ICCS03011,PER_SUSP,T,P_HTHAB,HU	3.58 	4.11 	3.73 	2.61 	2.53 	2.53 	2.65 	3.03 	2.33 	2.83 
ICCS03011,PER_SUSP,T,P_HTHAB,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.54 
ICCS03011,PER_SUSP,T,P_HTHAB,IS	42.26 	40.30 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,T,P_HTHAB,LI	: 	5.32 	2.68 	10.77 	5.43 	13.71 	5.53 	0.00 	0.00 	8.49 
ICCS03011,PER_SUSP,T,P_HTHAB,LT	3.62 	2.87 	3.08 	3.67 	2.96 	3.66 	5.57 	4.84 	4.71 	3.30 
ICCS03011,PER_SUSP,T,P_HTHAB,LU	15.41 	15.10 	10.30 	9.28 	: 	: 	11.72 	11.55 	9.93 	9.30 
ICCS03011,PER_SUSP,T,P_HTHAB,LV	7.69 	6.15 	3.93 	4.85 	4.25 	2.40 	1.74 	9.43 	4.67 	9.99 
ICCS03011,PER_SUSP,T,P_HTHAB,ME	1.29 	0.32 	0.80 	0.64 	0.48 	0.48 	0.48 	1.78 	1.30 	3.09 
ICCS03011,PER_SUSP,T,P_HTHAB,MK	: 	: 	: 	2.32 	1.75 	1.75 	1.90 	1.51 	1.95 	2.40 
ICCS03011,PER_SUSP,T,P_HTHAB,NL	3.08 	3.35 	3.65 	3.84 	4.20 	4.78 	5.55 	6.12 	7.79 	8.29 
ICCS03011,PER_SUSP,T,P_HTHAB,NO	9.95 	8.48 	7.66 	7.87 	8.12 	7.86 	7.21 	8.42 	7.86 	7.85 
ICCS03011,PER_SUSP,T,P_HTHAB,PL	1.05 	0.97 	0.90 	1.10 	1.06 	2.25 	2.35 	2.21 	2.49 	2.68 
ICCS03011,PER_SUSP,T,P_HTHAB,PT	1.52 	1.42 	1.44 	1.41 	1.60 	1.42 	1.39 	1.88 	2.36 	2.39 
ICCS03011,PER_SUSP,T,P_HTHAB,RO	5.87 	3.80 	4.03 	3.90 	4.65 	4.29 	: 	: 	4.91 	4.98 
ICCS03011,PER_SUSP,T,P_HTHAB,RS	0.97 	0.75 	0.87 	0.84 	1.24 	1.26 	1.14 	1.15 	1.68 	1.71 
ICCS03011,PER_SUSP,T,P_HTHAB,SE	32.00 	28.42 	29.16 	29.11 	27.99 	29.25 	29.45 	31.01 	28.49 	25.00 
ICCS03011,PER_SUSP,T,P_HTHAB,SI	1.98 	1.40 	1.89 	1.99 	1.85 	2.24 	1.90 	2.30 	3.35 	2.09 
ICCS03011,PER_SUSP,T,P_HTHAB,SK	1.03 	0.92 	0.98 	1.16 	0.85 	0.94 	1.54 	1.60 	1.90 	1.75 
ICCS03011,PER_SUSP,T,P_HTHAB,XK	: 	1.47 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_VICT,F,NR,AL	40 	43 	58 	37 	30 	20 	22 	41 	46 	56 
ICCS03011,PER_VICT,F,NR,AT	: 	1119 	1045 	1061 	1146 	1117 	1131 	1101 	604 	568 
ICCS03011,PER_VICT,F,NR,BA	7 	9 	9 	9 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_VICT,F,NR,BG	142 	127 	119 	148 	164 	187 	157 	211 	246 	262 
ICCS03011,PER_VICT,F,NR,CH	594 	568 	509 	538 	550 	549 	528 	524 	632 	: 
ICCS03011,PER_VICT,F,NR,CZ	494 	602 	559 	612 	570 	592 	601 	521 	432 	468 
ICCS03011,PER_VICT,F,NR,DE	7831 	7622 	6732 	7048 	7153 	7754 	7220 	7448 	7099 	7059 
ICCS03011,PER_VICT,F,NR,DK	1439 	1168 	839 	699 	685 	747 	744 	818 	806 	890 
ICCS03011,PER_VICT,F,NR,EL	223 	217 	183 	194 	222 	: 	: 	: 	: 	: 
ICCS03011,PER_VICT,F,NR,ES	1431 	1273 	1245 	1207 	1237 	923 	1094 	1090 	1200 	1333 
ICCS03011,PER_VICT,F,NR,FI	1097 	1016 	945 	892 	869 	921 	855 	: 	: 	: 
ICCS03011,PER_VICT,F,NR,FR	14899 	13051 	10729 	: 	: 	: 	: 	: 	: 	: 
