iccs,leg_stat,sex,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
ICCS0101,PER_CNV,F,P_HTHAB,UKC-L	: 	0.08 	0.05 	0.09 	0.10 	0.11 	0.08 	0.06 	0.07 	0.09 
ICCS0101,PER_CNV,F,P_HTHAB,UKM	0.11 	0.11 	0.07 	0.04 	0.15 	0.07 	0.15 	0.22 	0.15 	0.15 
ICCS0101,PER_CNV,F,P_HTHAB,UKN	: 	0.11 	0.00 	0.00 	0.00 	0.11 	0.22 	0.11 	0.22 	0.00 
ICCS0101,PER_CNV,F,P_HTHAB,XK	: 	0.11 	: 	: 	: 	: 	0.45 	0.27 	0.37 	0.19 
ICCS0101,PER_CNV,M,NR,AL	93 	132 	163 	172 	52 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,M,NR,AT	22 	28 	21 	31 	28 	35 	26 	36 	17 	20 
ICCS0101,PER_CNV,M,NR,BA	87 	84 	68 	87 	153 	102 	103 	: 	: 	: 
ICCS0101,PER_CNV,M,NR,BE	: 	: 	219 	209 	227 	273 	213 	189 	: 	: 
ICCS0101,PER_CNV,M,NR,BG	74 	77 	93 	66 	65 	97 	107 	113 	107 	134 
ICCS0101,PER_CNV,M,NR,CH	26 	28 	34 	34 	30 	36 	23 	41 	29 	35 
ICCS0101,PER_CNV,M,NR,CY	13 	6 	3 	6 	18 	8 	2 	11 	5 	3 
ICCS0101,PER_CNV,M,NR,CZ	69 	82 	100 	116 	107 	98 	108 	90 	100 	121 
ICCS0101,PER_CNV,M,NR,DE	258 	289 	299 	287 	259 	326 	286 	342 	344 	: 
ICCS0101,PER_CNV,M,NR,DK	30 	16 	33 	19 	20 	31 	24 	48 	34 	21 
ICCS0101,PER_CNV,M,NR,EE	22 	34 	32 	28 	61 	56 	38 	50 	: 	: 
ICCS0101,PER_CNV,M,NR,ES	171 	163 	216 	207 	84 	75 	: 	: 	: 	: 
ICCS0101,PER_CNV,M,NR,FI	44 	50 	47 	67 	53 	64 	69 	67 	59 	86 
ICCS0101,PER_CNV,M,NR,FR	399 	392 	374 	352 	507 	530 	454 	577 	556 	581 
ICCS0101,PER_CNV,M,NR,HR	54 	61 	30 	45 	44 	41 	41 	31 	45 	42 
ICCS0101,PER_CNV,M,NR,HU	135 	158 	130 	125 	101 	124 	91 	120 	156 	109 
ICCS0101,PER_CNV,M,NR,IS	: 	1 	2 	: 	1 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,M,NR,IT	570 	589 	490 	587 	513 	480 	436 	565 	577 	600 
ICCS0101,PER_CNV,M,NR,LT	135 	133 	120 	177 	151 	165 	199 	221 	201 	253 
ICCS0101,PER_CNV,M,NR,LU	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,M,NR,LV	94 	94 	106 	109 	86 	77 	57 	65 	74 	97 
ICCS0101,PER_CNV,M,NR,ME	12 	10 	14 	18 	31 	6 	6 	4 	28 	: 
ICCS0101,PER_CNV,M,NR,MK	: 	: 	: 	39 	31 	36 	37 	32 	52 	32 
ICCS0101,PER_CNV,M,NR,MT	1 	1 	3 	0 	2 	2 	3 	3 	4 	1 
ICCS0101,PER_CNV,M,NR,NL	505 	442 	488 	543 	642 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,M,NR,NO	: 	24 	17 	24 	22 	24 	22 	27 	23 	17 
ICCS0101,PER_CNV,M,NR,PT	54 	86 	96 	106 	115 	127 	128 	114 	149 	113 
ICCS0101,PER_CNV,M,NR,RO	715 	: 	785 	826 	773 	769 	937 	835 	702 	662 
ICCS0101,PER_CNV,M,NR,RS	85 	96 	78 	130 	116 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,M,NR,SE	128 	156 	146 	129 	130 	121 	124 	149 	136 	138 
ICCS0101,PER_CNV,M,NR,SI	: 	18 	20 	33 	36 	22 	26 	15 	20 	27 
ICCS0101,PER_CNV,M,NR,SK	27 	29 	27 	40 	36 	39 	38 	59 	41 	45 
ICCS0101,PER_CNV,M,NR,TR	: 	5656 	6326 	6143 	6967 	17279 	14819 	15390 	14512 	: 
ICCS0101,PER_CNV,M,NR,UKC-L	: 	271 	252 	322 	293 	324 	320 	328 	356 	415 
ICCS0101,PER_CNV,M,NR,UKM	27 	26 	25 	30 	43 	46 	49 	43 	48 	56 
ICCS0101,PER_CNV,M,NR,UKN	: 	7 	5 	7 	13 	8 	11 	14 	14 	10 
ICCS0101,PER_CNV,M,NR,XK	79 	66 	96 	78 	42 	57 	86 	73 	73 	54 
ICCS0101,PER_CNV,M,P_HTHAB,AL	6.40 	9.05 	11.16 	11.78 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,M,P_HTHAB,AT	0.51 	0.66 	0.50 	0.75 	0.68 	0.85 	0.64 	0.89 	0.42 	0.49 
ICCS0101,PER_CNV,M,P_HTHAB,BA	: 	: 	: 	: 	: 	5.44 	5.49 	: 	: 	: 
ICCS0101,PER_CNV,M,P_HTHAB,BE	: 	: 	3.96 	3.80 	4.14 	5.01 	3.94 	3.56 	: 	: 
ICCS0101,PER_CNV,M,P_HTHAB,BG	2.14 	2.21 	2.66 	1.87 	1.83 	2.72 	2.98 	3.13 	2.94 	3.66 
